
2022/08/02 (18:13:57) | ===> btop++ v.1.2.7
2022/08/02 (18:13:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:15:21) | ===> btop++ v.1.2.7
2022/08/02 (18:15:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:15:32) | ===> btop++ v.1.2.7
2022/08/02 (18:15:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:15:54) | ===> btop++ v.1.2.7
2022/08/02 (18:15:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:16:01) | ===> btop++ v.1.2.7
2022/08/02 (18:16:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:16:08) | ===> btop++ v.1.2.7
2022/08/02 (18:16:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:16:19) | ===> btop++ v.1.2.7
2022/08/02 (18:16:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:16:28) | ===> btop++ v.1.2.7
2022/08/02 (18:16:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:16:41) | ===> btop++ v.1.2.7
2022/08/02 (18:16:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:17) | ===> btop++ v.1.2.7
2022/08/02 (18:17:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:27) | ===> btop++ v.1.2.7
2022/08/02 (18:17:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:35) | ===> btop++ v.1.2.7
2022/08/02 (18:17:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:46) | ===> btop++ v.1.2.7
2022/08/02 (18:17:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:53) | ===> btop++ v.1.2.7
2022/08/02 (18:17:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:17:59) | ===> btop++ v.1.2.7
2022/08/02 (18:17:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:06) | ===> btop++ v.1.2.7
2022/08/02 (18:18:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:16) | ===> btop++ v.1.2.7
2022/08/02 (18:18:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:22) | ===> btop++ v.1.2.7
2022/08/02 (18:18:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:45) | ===> btop++ v.1.2.7
2022/08/02 (18:18:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:49) | ===> btop++ v.1.2.7
2022/08/02 (18:18:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:18:55) | ===> btop++ v.1.2.7
2022/08/02 (18:18:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:19:04) | ===> btop++ v.1.2.7
2022/08/02 (18:19:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:19:32) | ===> btop++ v.1.2.7
2022/08/02 (18:19:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:19:44) | ===> btop++ v.1.2.7
2022/08/02 (18:19:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:03) | ===> btop++ v.1.2.7
2022/08/02 (18:20:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:14) | ===> btop++ v.1.2.7
2022/08/02 (18:20:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:19) | ===> btop++ v.1.2.7
2022/08/02 (18:20:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:26) | ===> btop++ v.1.2.7
2022/08/02 (18:20:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:37) | ===> btop++ v.1.2.7
2022/08/02 (18:20:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:43) | ===> btop++ v.1.2.7
2022/08/02 (18:20:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:49) | ===> btop++ v.1.2.7
2022/08/02 (18:20:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:20:58) | ===> btop++ v.1.2.7
2022/08/02 (18:20:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:21:11) | ===> btop++ v.1.2.7
2022/08/02 (18:21:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:22:16) | ===> btop++ v.1.2.7
2022/08/02 (18:22:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:22:24) | ===> btop++ v.1.2.7
2022/08/02 (18:22:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:22:38) | ===> btop++ v.1.2.7
2022/08/02 (18:22:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:22:45) | ===> btop++ v.1.2.7
2022/08/02 (18:22:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:23:03) | ===> btop++ v.1.2.7
2022/08/02 (18:23:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:23:12) | ===> btop++ v.1.2.7
2022/08/02 (18:23:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:23:23) | ===> btop++ v.1.2.7
2022/08/02 (18:23:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:23:32) | ===> btop++ v.1.2.7
2022/08/02 (18:23:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:23:47) | ===> btop++ v.1.2.7
